,0
amplitude,0.2776158101272682
anderson_darling_normal,0.6324932481221309
beyond_1_std,0.29842034329236383
chi2,47.98632140376363
cusum,0.3353034770643174
kurtosis,0.19552357158753803
linear_fit_slope,0.00046779506892350695
linear_fit_slope_sigma,0.004115135468353504
linear_trend_noise,0.17699726764662016
linear_trend_sigma,0.008118738252789576
magnitude_percentage_ratio_20_10,0.7110312348018119
magnitude_percentage_ratio_40_5,0.21197547217167437
maximum_slope,27.23340912206943
median,17.306199665913482
median_absolute_deviation,0.09875090359331296
median_buffer_range_percentage_10,0.22553694294088797
skew,0.022823198234573093
stetson_K,0.8580286805997064
